Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,NumberofSeats
Tesla Roadster ,2.1,410,970,206,920,4
Tesla Model X Plaid,2.6,262,455,198,680,7
Porsche Taycan Turbo S,2.8,260,390,215,860,4
Porsche Taycan Turbo S Cross Turismo,2.9,250,380,220,790,4
Tesla Cybertruck Tri Motor,3,210,750,267,710,7
Lucid Air Grand Touring,3.2,270,660,167,1380,5
Tesla Model S Plaid,2.1,282,560,170,780,5
Tesla Model S Long Range,3.2,250,555,162,830,5
Porsche Taycan Turbo,3.2,260,400,209,840,4
Tesla Model 3 Performance,3.3,261,460,162,710,5
Audi e-tron GT RS,3.3,250,405,210,810,4
Porsche Taycan Turbo Cross Turismo,3.3,250,385,217,800,4
Tesla Model 3,6.1,225,405,142,680,5
Lucid Air Touring,2.4,250,530,160,1390,5
Kia EV6 GT,3.5,260,395,196,920,5
Tesla Model Y,6.9,217,345,167,580,5
Tesla Model Y Long Range Dual Motor,5,217,435,172,670,5
Tesla Model Y Performance,3.7,250,430,177,680,5
Tesla Model X Dual Motor,3.9,250,475,189,710,7
BMW i4 M50,3.9,225,450,179,630,5
Porsche Taycan 4S,4,250,375,189,750,4
Porsche Taycan 4S Plus,4,250,435,192,910,4
Audi e-tron GT quattro,4.1,245,420,202,840,4
Porsche Taycan 4S Cross Turismo,4.1,240,405,207,850,4
Lucid Air Pure,4.2,200,540,157,1410,5
Mercedes EQS 580 4MATIC,4.3,210,610,177,800,5
Tesla Model 3 Long Range Dual Motor,4.4,233,485,154,750,5
Ford Mustang Mach-E GT,4.4 sec,200 km/h,410 km,215 Wh/km,400 km/h,5
Audi e-tron S 55 quattro,4.5 sec,210 km/h,320 km,270 Wh/km,510 km/h,5
Audi e-tron S Sportback 55 quattro,4.5 sec,210 km/h,335 km,258 Wh/km,540 km/h,5
BMW iX xDrive50,4.6 sec,200 km/h,505 km,208 Wh/km,620 km/h,5
Volvo C40 Recharge,4.7 sec,180 km/h,340 km,221 Wh/km,440 km/h,5
Polestar 2 Long Range Dual Motor,4.7 sec,205 km/h,395 km,190 Wh/km,510 km/h,5
